Id,label,weight
贾宝玉,贾宝玉,4054
贾母,贾母,2612
林黛玉,林黛玉,1253
王夫人,王夫人,1011
薛宝钗,薛宝钗,866
贾琏,贾琏,709
贾政,贾政,684
薛姨妈,薛姨妈,453
贾珍,贾珍,309
邢夫人,邢夫人,284
紫鹃,紫鹃,273
尤氏,尤氏,257
薛蟠,薛蟠,194
贾芸,贾芸,175
周瑞家,周瑞家,170
贾迎春,贾迎春,144
贾蓉,贾蓉,143
林之孝,林之孝,143
赵姨娘,赵姨娘,132
和尚,和尚,118
贾环,贾环,107
老婆子,老婆子,105
夏金桂,夏金桂,104
尤二姐,尤二姐,91
薛宝琴,薛宝琴,89
小姐,小姐,87
秦钟,秦钟,85
贾惜春,贾惜春,82
史湘云,史湘云,82
妙玉,妙玉,79
秋纹,秋纹,78
雪雁,雪雁,72
大老爷,大老爷,64
冯紫英,冯紫英,58
那丫头,那丫头,57
贾兰,贾兰,57
秦氏,秦氏,54
甄士隐,甄士隐,53
司棋,司棋,53
巧姐儿,巧姐儿,52
那婆子,那婆子,51
老嬷嬷,老嬷嬷,49
从小儿,从小儿,47
王爷,王爷,46
邢王二,邢王二,45
北静王,北静王,44
旺儿,旺儿,44
贾府,贾府,43
赖大,赖大,43
玉钏儿,玉钏儿,42
何曾,何曾,41
巧姐,巧姐,41
金钏儿,金钏儿,39
荣国府,荣国府,38
金陵,金陵,38
丰儿,丰儿,38
祖宗,祖宗,37
李嬷嬷,李嬷嬷,37
贾瑞,贾瑞,37
尤三姐,尤三姐,36
贾妃,贾妃,36
包勇,包勇,36
甄宝玉,甄宝玉,36
梅花,梅花,34
贾芹,贾芹,33
贾家,贾家,32
贾蔷,贾蔷,32
李贵,李贵,31
蒋玉菡,蒋玉菡,30
安静,安静,30
周瑞,周瑞,30
张罗,张罗,30
孙子,孙子,30
薛家,薛家,29
桂花,桂花,29
小红,小红,28
红玉,红玉,28
王善保,王善保,28
秋桐,秋桐,27
李十儿,李十儿,27
张华,张华,26
王子腾,王子腾,25
马道婆,马道婆,25
贾雨村,贾雨村,24
水月庵,水月庵,24
王仁,王仁,24
倪二,倪二,24
张道士,张道士,24
鲍二,鲍二,24
王太医,王太医,23
李氏,李氏,22
金荣,金荣,22
齐全,齐全,22
柳湘莲,柳湘莲,22
雪雁道,雪雁道,21
谢恩,谢恩,21
邢岫烟,邢岫烟,21
老先生,老先生,20
道谢,道谢,20
相公,相公,20
